activity_period,activity_type_code,boarding_area,geo_region,geo_summary,operating_airline,operating_airline_iata_code,passenger_count,price_category_code,published_airline,published_airline_iata_code,terminal
200601,Enplaned,A,US,Domestic,AirTran Airways,FL,4057,Low Fare,AirTran Airways,FL,International
200601,Deplaned,A,US,Domestic,Alaska Airlines,AS,28485,Other,Alaska Airlines,AS,International
200601,Enplaned,A,US,Domestic,Alaska Airlines,AS,31577,Other,Alaska Airlines,AS,International
200601,Thru / Transit,A,US,Domestic,Alaska Airlines,AS,4309,Other,Alaska Airlines,AS,International
200601,Deplaned,A,Canada,International,Alaska Airlines,AS,5804,Other,Alaska Airlines,AS,International
200601,Enplaned,A,Canada,International,Alaska Airlines,AS,4921,Other,Alaska Airlines,AS,International
200601,Thru / Transit,A,Canada,International,Alaska Airlines,AS,181,Other,Alaska Airlines,AS,International
200601,Deplaned,A,Mexico,International,Alaska Airlines,AS,10758,Other,Alaska Airlines,AS,International
200601,Enplaned,A,Mexico,International,Alaska Airlines,AS,11638,Other,Alaska Airlines,AS,International
200601,Thru / Transit,A,Mexico,International,Alaska Airlines,AS,2265,Other,Alaska Airlines,AS,International
200601,Deplaned,G,Asia,International,All Nippon Airways,NH,6629,Other,All Nippon Airways,NH,International
200601,Enplaned,G,Asia,International,All Nippon Airways,NH,6005,Other,All Nippon Airways,NH,International
200601,Deplaned,E,US,Domestic,American Airlines,AA,118267,Other,American Airlines,AA,Terminal 3
200601,Enplaned,E,US,Domestic,American Airlines,AA,110409,Other,American Airlines,AA,Terminal 3
200601,Deplaned,E,US,Domestic,American Eagle Airlines,MQ,3676,Other,American Airlines,AA,Terminal 3
200601,Enplaned,E,US,Domestic,American Eagle Airlines,MQ,3530,Other,American Airlines,AA,Terminal 3
200601,Deplaned,A,Asia,International,Asiana Airlines,OZ,5174,Other,Asiana Airlines,OZ,International
200601,Enplaned,A,Asia,International,Asiana Airlines,OZ,4680,Other,Asiana Airlines,OZ,International
200601,Deplaned,A,Europe,International,British Airways,BA,16385,Other,British Airways,BA,International
